ID	GRWS002D_ACAGTG_L002_R1_001.fastq	GRWS002D_ACAGTG_L002_R1_002.fastq	GRWS002D_ACAGTG_L002_R1_003.fastq	GRWS002D_ACAGTG_L002_R2_001.fastq	GRWS002D_ACAGTG_L002_R2_002.fastq	GRWS002D_ACAGTG_L002_R2_003.fastq	GRWS002E_GCCAAT_L002_R1_001.fastq	GRWS002E_GCCAAT_L002_R1_002.fastq	GRWS002E_GCCAAT_L002_R1_003.fastq	GRWS002E_GCCAAT_L002_R2_001.fastq	GRWS002E_GCCAAT_L002_R2_002.fastq	GRWS002E_GCCAAT_L002_R2_003.fastq	GRWS002F_CAGATC_L002_R1_001.fastq	GRWS002F_CAGATC_L002_R1_002.fastq	GRWS002F_CAGATC_L002_R1_003.fastq	GRWS002F_CAGATC_L002_R2_001.fastq	GRWS002F_CAGATC_L002_R2_002.fastq	GRWS002F_CAGATC_L002_R2_003.fastq	GRWS002G_ACTTGA_L002_R1_001.fastq	GRWS002G_ACTTGA_L002_R1_002.fastq	GRWS002G_ACTTGA_L002_R1_003.fastq	GRWS002G_ACTTGA_L002_R2_001.fastq	GRWS002G_ACTTGA_L002_R2_002.fastq	GRWS002G_ACTTGA_L002_R2_003.fastq	GRWS002H_GATCAG_L002_R1_001.fastq	GRWS002H_GATCAG_L002_R1_002.fastq	GRWS002H_GATCAG_L002_R1_003.fastq	GRWS002H_GATCAG_L002_R2_001.fastq	GRWS002H_GATCAG_L002_R2_002.fastq	GRWS002H_GATCAG_L002_R2_003.fastq	GRWS002I_TAGCTT_L002_R1_001.fastq	GRWS002I_TAGCTT_L002_R1_002.fastq	GRWS002I_TAGCTT_L002_R1_003.fastq	GRWS002I_TAGCTT_L002_R2_001.fastq	GRWS002I_TAGCTT_L002_R2_002.fastq	GRWS002I_TAGCTT_L002_R2_003.fastq	GRWS002J_GGCTAC_L002_R1_001.fastq	GRWS002J_GGCTAC_L002_R1_002.fastq	GRWS002J_GGCTAC_L002_R1_003.fastq	GRWS002J_GGCTAC_L002_R2_001.fastq	GRWS002J_GGCTAC_L002_R2_002.fastq	GRWS002J_GGCTAC_L002_R2_003.fastq	GRWS002K_CTTGTA_L002_R1_001.fastq	GRWS002K_CTTGTA_L002_R1_002.fastq	GRWS002K_CTTGTA_L002_R1_003.fastq	GRWS002K_CTTGTA_L002_R2_001.fastq	GRWS002K_CTTGTA_L002_R2_002.fastq	GRWS002K_CTTGTA_L002_R2_003.fastq	GRWS002L_AGTCAA_L002_R1_001.fastq	GRWS002L_AGTCAA_L002_R1_002.fastq	GRWS002L_AGTCAA_L002_R1_003.fastq	GRWS002L_AGTCAA_L002_R2_001.fastq	GRWS002L_AGTCAA_L002_R2_002.fastq	GRWS002L_AGTCAA_L002_R2_003.fastq	GRWS002M_ATCACG_L002_R1_001.fastq	GRWS002M_ATCACG_L002_R1_002.fastq	GRWS002M_ATCACG_L002_R1_003.fastq	GRWS002M_ATCACG_L002_R2_001.fastq	GRWS002M_ATCACG_L002_R2_002.fastq	GRWS002M_ATCACG_L002_R2_003.fastq	GRWS002N_AGTTCC_L002_R1_001.fastq	GRWS002N_AGTTCC_L002_R1_002.fastq	GRWS002N_AGTTCC_L002_R1_003.fastq	GRWS002N_AGTTCC_L002_R1_004.fastq	GRWS002N_AGTTCC_L002_R2_001.fastq	GRWS002N_AGTTCC_L002_R2_002.fastq	GRWS002N_AGTTCC_L002_R2_003.fastq	GRWS002N_AGTTCC_L002_R2_004.fastq	GRWS002O_ATGTCA_L002_R1_001.fastq	GRWS002O_ATGTCA_L002_R1_002.fastq	GRWS002O_ATGTCA_L002_R1_003.fastq	GRWS002O_ATGTCA_L002_R1_004.fastq	GRWS002O_ATGTCA_L002_R2_001.fastq	GRWS002O_ATGTCA_L002_R2_002.fastq	GRWS002O_ATGTCA_L002_R2_003.fastq	GRWS002O_ATGTCA_L002_R2_004.fastq	GRWS002P_CCGTCC_L002_R1_001.fastq	GRWS002P_CCGTCC_L002_R1_002.fastq	GRWS002P_CCGTCC_L002_R1_003.fastq	GRWS002P_CCGTCC_L002_R2_001.fastq	GRWS002P_CCGTCC_L002_R2_002.fastq	GRWS002P_CCGTCC_L002_R2_003.fastq	GRWS002Q_GTAGAG_L002_R1_001.fastq	GRWS002Q_GTAGAG_L002_R1_002.fastq	GRWS002Q_GTAGAG_L002_R1_003.fastq	GRWS002Q_GTAGAG_L002_R2_001.fastq	GRWS002Q_GTAGAG_L002_R2_002.fastq	GRWS002Q_GTAGAG_L002_R2_003.fastq
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Actinobacteria	1.21208	0.83842	1.22562	1.02138	0.83445	2.59132	0	0.66303	1.09113	1.35059	1.15907	1.19922	1.33061	3.57024	4.12976	5.11843	5.23484	5.28366	4.10589	1.66732	4.07291	4.57826	4.12061	4.33984	4.40833	2.73895	2.76683	1.50332	2.80158	1.98072	3.50864	0	0	0	0	0	0.05887	0	0	0	0	0.03579	0.07198	0	0.03649	0.03557	0.03539	0	0	0	0	0	0.05263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.21208	0.83842	1.22562	1.02138	0.83445	2.59132	0	0.66303	1.09113	1.35059	1.15907	1.19922	1.33061	3.57024	4.12976	5.11843	5.23484	5.28366	4.10589	1.66732	4.07291	4.57826	4.12061	4.33984	4.40833	2.73895	2.76683	1.50332	2.80158	1.98072	3.50864	0	0	0	0	0	0.05887	0	0	0	0	0.03579	0.07198	0	0.03649	0.03557	0.03539	0	0	0	0	0	0.05263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.21208	0.83842	1.22562	1.02138	0.83445	2.59132	0	0.66303	1.09113	1.35059	1.15907	1.19922	1.33061	3.57024	4.12976	5.11843	5.23484	5.28366	4.10589	1.66732	4.07291	4.57826	4.12061	4.33984	4.40833	2.73895	2.76683	1.50332	2.80158	1.98072	3.50864	0	0	0	0	0	0.05887	0	0	0	0	0.03579	0.07198	0	0.03649	0.03557	0.03539	0	0	0	0	0	0.05263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.21208	0.83842	1.22562	1.02138	0.83445	2.59132	0	0.66303	1.09113	1.35059	1.15907	1.19922	1.33061	3.57024	4.12976	5.11843	5.23484	5.28366	4.10589	1.66732	4.07291	4.57826	4.12061	4.33984	4.40833	2.73895	2.76683	1.50332	2.80158	1.98072	3.50864	0	0	0	0	0	0.05887	0	0	0	0	0.03579	0.07198	0	0.03649	0.03557	0.03539	0	0	0	0	0	0.05263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	1.21208	0.83842	1.22562	1.02138	0.83445	2.59132	0	0.66303	1.09113	1.35059	1.15907	1.19922	1.33061	3.57024	4.12976	5.11843	5.23484	5.28366	4.10589	1.66732	4.07291	4.57826	4.12061	4.33984	4.40833	2.73895	2.76683	1.50332	2.80158	1.98072	3.50864	0	0	0	0	0	0.05887	0	0	0	0	0.03579	0.07198	0	0.03649	0.03557	0.03539	0	0	0	0	0	0.05263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_unclassified	1.21208	0.83842	1.22562	1.02138	0.83445	2.59132	0	0.66303	1.09113	1.35059	1.15907	1.19922	1.33061	3.57024	4.12976	5.11843	5.23484	5.28366	4.10589	1.66732	4.07291	4.57826	4.12061	4.33984	4.40833	2.73895	2.76683	1.50332	2.80158	1.98072	3.50864	0	0	0	0	0	0.05887	0	0	0	0	0.03579	0.07198	0	0.03649	0.03557	0.03539	0	0	0	0	0	0.05263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	48.19652	43.70818	57.82936	46.77875	47.74136	53.07073	19.46885	22.22738	15.91947	22.17248	20.85523	16.66081	78.23227	78.23191	79.05359	77.0312	78.46923	79.93211	55.64465	55.65461	52.27258	57.60656	56.51974	56.54229	69.2874	70.85772	70.66999	69.12528	71.06199	71.04527	88.2259	88.65701	90.40698	88.4087	89.52764	88.45612	22.69505	21.34807	22.26272	22.81701	23.89374	23.73116	81.31305	80.48448	83.35909	81.46749	81.74951	80.99898	81.92548	81.98321	77.31781	83.67573	83.13344	78.44374	72.3323	73.71429	72.68483	74.80542	75.4405	74.23438	88.715	89.41231	89.09916	100	90.14511	89.56219	90.58158	100	46.74111	44.72979	42.18775	40.10212	44.7292	43.8409	43.3563	47.1181	15.69693	14.12556	16.18863	16.01981	14.65513	16.18272	90.55799	89.65252	91.4253	89.88075	89.64095	92.46028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	48.19652	43.70818	57.82936	46.77875	47.74136	53.07073	19.46885	22.22738	15.91947	22.17248	20.85523	16.66081	78.23227	78.23191	79.05359	77.0312	78.46923	79.93211	55.64465	55.65461	52.27258	57.60656	56.51974	56.54229	69.2874	70.85772	70.66999	69.12528	71.06199	71.04527	88.2259	88.65701	90.40698	88.4087	89.52764	88.45612	22.69505	21.34807	22.26272	22.81701	23.89374	23.73116	81.31305	80.48448	83.35909	81.46749	81.74951	80.99898	81.92548	81.98321	77.31781	83.67573	83.13344	78.44374	72.3323	73.71429	72.68483	74.80542	75.4405	74.23438	88.715	89.41231	89.09916	100	90.14511	89.56219	90.58158	100	46.74111	44.72979	42.18775	40.10212	44.7292	43.8409	43.3563	47.1181	15.69693	14.12556	16.18863	16.01981	14.65513	16.18272	90.55799	89.65252	91.4253	89.88075	89.64095	92.46028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	48.19652	43.70818	57.82936	46.77875	47.74136	53.07073	19.46885	22.22738	15.91947	22.17248	20.85523	16.66081	78.23227	78.23191	79.05359	77.0312	78.46923	79.93211	55.64465	55.65461	52.27258	57.60656	56.51974	56.54229	69.2874	70.85772	70.66999	69.12528	71.06199	71.04527	88.2259	88.65701	90.40698	88.4087	89.52764	88.45612	22.69505	21.34807	22.26272	22.81701	23.89374	23.73116	81.31305	80.48448	83.35909	81.46749	81.74951	80.99898	81.92548	81.98321	77.31781	83.67573	83.13344	78.44374	72.3323	73.71429	72.68483	74.80542	75.4405	74.23438	88.715	89.41231	89.09916	100	90.14511	89.56219	90.58158	100	46.74111	44.72979	42.18775	40.10212	44.7292	43.8409	43.3563	47.1181	15.69693	14.12556	16.18863	16.01981	14.65513	16.18272	90.55799	89.65252	91.4253	89.88075	89.64095	92.46028
